policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-30129,POL-31435,N,Y,IF,S,I,,2023-12-18,2023-12-19,2024-12-17,,AG1136,SM1040,MEMBER-002058,MEMBER-001049,MEMBER-005472,MEMBER-002554,,2079811.01,64854.44,H,64854.44,2023-12-19,,No,4,1545121.36,No,9108878608,Urban,2296362.16,,2023-12-18,ORG,POL-31435,UIN-469,Plan C,IND_HEALTH
POL-44231,,N,N,IF,U,I,,2023-03-28,2023-03-28,2024-03-26,,AG1154,SM1035,MEMBER-012738,MEMBER-007781,,,,1818440.22,89946.1,H,44973.05,,,No,2,1234782.98,No,9855918745,Urban,,,,ORG,POL-44231,UIN-140,Plan C,CRITICAL_ILLNESS
POL-44008,,N,N,IF,S,I,,2023-08-03,2023-08-05,2024-08-03,,AG1173,SM1031,MEMBER-007741,MEMBER-008884,MEMBER-001097,MEMBER-000704,,1024585.85,56622.23,Y,56622.23,,,No,4,788219.05,No,9746224696,Rural,,,,DIR,POL-44008,UIN-815,Plan B,TERM_LIFE
POL-45691,,N,N,IF,U,I,,2023-04-21,2023-04-22,2024-04-20,,AG1013,SM1031,MEMBER-013699,,,,,1592180.33,106377.38,Y,106377.38,,,No,1,1167773.33,No,9293303150,Rural,,,,ORG,POL-45691,UIN-375,Plan C,FAMILY_HEALTH_OPTIMA
POL-46641,,N,N,IF,U,I,,2023-02-15,2023-02-20,2024-02-19,,AG1044,SM1021,MEMBER-005142,MEMBER-006921,MEMBER-007138,MEMBER-008473,,1148962.4,81561.63,Y,81561.63,,,No,4,809971.07,No,9764154704,Urban,,,,ORG,POL-46641,UIN-904,Plan C,IND_HEALTH
POL-26976,,N,N,IF,S,I,,2023-10-04,2023-10-08,2024-10-06,,AG1169,SM1002,MEMBER-009472,,,,,1986273.04,105612.63,Y,105612.63,,2023-10-20,Yes,1,1386721.13,No,9019604996,Urban,,,,DIR,POL-26976,UIN-941,Plan A,IND_HEALTH
POL-33755,,N,N,XP,S,I,,2023-09-05,2023-09-09,2024-09-07,,AG1039,SM1048,MEMBER-014162,MEMBER-003101,MEMBER-013152,MEMBER-003626,MEMBER-000702,2248578.05,85804.07,Y,85804.07,,2023-11-09,Yes,5,1723905.6,No,9890545200,Rural,,,,IND,POL-33755,UIN-187,Plan A,IND_HEALTH
POL-12917,,N,N,IF,S,I,,2024-04-15,2024-04-19,2025-04-18,,AG1135,SM1009,MEMBER-004051,MEMBER-010654,,,,1464807.5,136914.77,Y,136914.77,,2025-04-15,Yes,2,884075.83,No,9194393224,Urban,,,,IOC,POL-12917,UIN-263,Plan C,IND_HEALTH
POL-36478,POL-40314,Y,N,IF,S,I,,2023-10-05,2023-10-05,2024-10-03,,AG1058,SM1049,MEMBER-007942,MEMBER-008944,,,,1904807.57,75255.54,Q,75255.54,,,No,2,1463339.75,No,9046700975,Urban,1756809.56,2023-10-05,2023-10-04,IND,POL-40314,UIN-617,Plan B,GROUP_HEALTH
POL-46771,,N,N,IF,S,I,,2023-08-14,2023-08-15,2024-08-13,,AG1073,SM1031,MEMBER-014657,MEMBER-002747,MEMBER-005419,MEMBER-010660,,618104.45,42330.89,Y,42330.89,,,No,4,474137.2,No,9846038503,Urban,,,,IND,POL-46771,UIN-402,Plan C,PERSONAL_ACCIDENT
POL-20875,,N,N,IF,S,I,,2024-07-13,2024-07-16,2025-07-15,,AG1040,SM1033,MEMBER-008167,,,,,2395118.87,115248.39,H,115248.39,,,No,1,1433482.25,No,9724886646,Rural,,,,IND,POL-20875,UIN-887,Plan B,GROUP_HEALTH
POL-20968,,N,N,IF,U,I,,2023-02-08,2023-02-08,2024-02-07,,AG1044,SM1045,MEMBER-013707,,,,,876384.49,9334.12,H,9334.12,,,No,1,538623.54,No,9192926187,Urban,,,,IND,POL-20968,UIN-116,Plan A,GROUP_HEALTH
POL-14975,POL-43816,Y,N,IF,S,G,E,2023-12-17,2023-12-22,2024-12-20,,AG1036,SM1046,MEMBER-008285,,,,,6106831.65,526476.03,Y,526476.03,,,No,1,4442873.93,No,9024560149,Urban,4869252.9,2023-12-22,2023-12-21,IOC,POL-43816,UIN-846,Plan B,PERSONAL_ACCIDENT
POL-16701,,N,N,IF,U,I,,2023-08-10,2023-08-15,2024-08-13,,AG1159,SM1013,MEMBER-013314,MEMBER-010582,MEMBER-014167,MEMBER-008853,,253534.66,7482.34,H,3741.17,,,No,4,202533.56,No,9079986181,Urban,,,,IND,POL-16701,UIN-985,Plan C,GROUP_HEALTH
POL-12620,,N,N,IF,S,I,,2024-06-05,2024-06-10,2025-06-09,,AG1120,SM1024,MEMBER-013926,MEMBER-001198,,,,2324684.05,115808.9,H,115808.9,,,No,2,1587242.75,No,9531097611,Rural,,,,IND,POL-12620,UIN-351,Plan A,CRITICAL_ILLNESS
POL-24001,POL-40781,Y,N,IF,S,I,,2023-01-11,2023-01-14,2024-01-13,,AG1079,SM1032,MEMBER-005903,MEMBER-007335,MEMBER-005244,,,315758.08,11792.97,H,5896.48,,,No,3,189828.56,No,9503562348,Rural,368447.63,2023-01-14,2023-01-13,IND,POL-40781,UIN-891,Plan B,FAMILY_HEALTH_OPTIMA
POL-19487,,N,N,IF,S,I,,2024-05-31,2024-05-31,2025-05-30,,AG1093,SM1012,MEMBER-011771,MEMBER-007123,MEMBER-005694,MEMBER-000722,MEMBER-006401,129199.73,5542.16,H,2771.08,,,No,5,87289.99,No,9373451233,Urban,,,,IND,POL-19487,UIN-434,Plan A,GROUP_HEALTH
POL-12215,,N,N,IF,S,I,,2023-02-11,2023-02-16,2024-02-15,,AG1168,SM1034,MEMBER-005495,MEMBER-006037,MEMBER-000774,MEMBER-000188,,560893.42,38952.07,H,38952.07,,,No,4,424946.21,No,9098739145,Rural,,,,IND,POL-12215,UIN-650,Plan B,PERSONAL_ACCIDENT
POL-20314,,N,N,IF,U,G,E,2024-06-17,2024-06-19,2025-06-18,,AG1109,SM1010,MEMBER-004361,MEMBER-011924,,,,4991374.86,205653.53,Q,205653.53,,,No,2,3324755.85,No,9117564384,Urban,,,,IND,POL-20314,UIN-723,Plan A,IND_HEALTH
POL-46364,POL-30139,Y,N,IF,U,I,,2023-09-25,2023-09-30,2024-09-28,,AG1114,SM1034,MEMBER-004187,MEMBER-001811,MEMBER-004688,,,1842332.6,122874.68,Y,122874.68,,2024-02-10,Yes,3,958618.57,No,9240610521,Rural,1570883.59,2023-09-30,2023-09-29,IND,POL-30139,UIN-924,Plan A,TERM_LIFE
POL-21033,POL-40096,Y,N,IF,U,I,,2023-07-30,2023-07-30,2024-07-28,,AG1060,SM1014,MEMBER-014040,MEMBER-008530,MEMBER-001721,MEMBER-003436,,446255.4,21088.17,H,10544.08,,,No,4,227637.5,No,9320121755,Urban,380656.27,2023-07-30,2023-07-29,DIR,POL-40096,UIN-557,Plan A,GROUP_HEALTH
POL-40031,,N,N,IF,U,I,,2024-05-18,2024-05-23,2025-05-22,,AG1176,SM1042,MEMBER-001245,,,,,2169949.77,77658.51,M,38829.25,,,No,1,1165932.05,No,9694831299,Rural,,,,IND,POL-40031,UIN-356,Plan B,FAMILY_HEALTH_OPTIMA
POL-45466,,N,N,IF,U,I,,2023-04-27,2023-04-27,2024-04-25,,AG1145,SM1001,MEMBER-000721,MEMBER-003363,MEMBER-008749,MEMBER-005386,,1239959.47,78847.84,Q,78847.84,,,No,4,962952.32,No,9474680291,Urban,,,,IND,POL-45466,UIN-831,Plan C,CRITICAL_ILLNESS
POL-29818,POL-22186,Y,N,IF,U,I,,2024-04-08,2024-04-09,2025-04-08,,AG1100,SM1040,MEMBER-000061,MEMBER-007103,MEMBER-010690,MEMBER-007091,,1698643.8,107014.36,Y,107014.36,,,No,4,1052623.42,No,9685143348,Rural,1871421.68,2024-04-09,2024-04-08,ORG,POL-22186,UIN-759,Plan B,TERM_LIFE
POL-39360,,N,N,IF,S,I,,2024-07-18,2024-07-18,2025-07-17,,AG1030,SM1005,MEMBER-012710,,,,,1536820.88,117721.0,H,58860.5,,,No,1,1040379.35,No,9855652750,Urban,,,,IND,POL-39360,UIN-499,Plan A,FAMILY_HEALTH_OPTIMA
POL-45617,POL-36510,N,Y,IF,S,I,,2023-01-13,2023-01-13,2024-01-12,,AG1160,SM1035,MEMBER-013395,MEMBER-001888,MEMBER-011663,MEMBER-011838,MEMBER-003251,1528825.8,100317.71,M,75238.28,2023-01-13,,No,5,929715.74,No,9782011486,Urban,1118751.55,,2023-01-12,IND,POL-36510,UIN-690,Plan B,PERSONAL_ACCIDENT
POL-48931,,N,N,IF,S,I,,2024-01-07,2024-01-08,2025-01-06,,AG1019,SM1029,MEMBER-008034,MEMBER-012055,MEMBER-003519,,,658093.84,30816.69,Y,30816.69,,,No,3,378467.46,No,9498197625,Urban,,,,SPP,POL-48931,UIN-387,Plan C,TERM_LIFE
POL-44663,,N,N,IF,S,I,,2023-12-29,2024-01-02,2024-12-31,,AG1000,SM1002,MEMBER-014961,MEMBER-014317,MEMBER-011077,MEMBER-000330,,2180685.5,142425.9,Y,142425.9,,,No,4,1477760.45,No,9754816686,Urban,,,,DIR,POL-44663,UIN-910,Plan B,FAMILY_HEALTH_OPTIMA
POL-11700,,N,N,IF,S,I,,2023-07-27,2023-07-31,2024-07-29,,AG1139,SM1012,MEMBER-005574,MEMBER-002406,,,,962495.04,57628.12,Y,57628.12,,2023-10-02,Yes,2,541879.73,No,9799598307,Urban,,,,IOC,POL-11700,UIN-905,Plan B,PERSONAL_ACCIDENT
POL-31009,,N,N,IF,U,I,,2023-06-24,2023-06-25,2024-06-23,,AG1006,SM1008,MEMBER-001542,MEMBER-007875,MEMBER-004523,MEMBER-009933,,1987792.16,183717.23,H,183717.23,,,No,4,1257485.3,No,9753431696,Rural,,,,IND,POL-31009,UIN-609,Plan C,PERSONAL_ACCIDENT
POL-27234,POL-40251,Y,N,IF,U,I,,2024-03-28,2024-04-02,2025-04-01,,AG1087,SM1028,MEMBER-001486,MEMBER-002895,,,,796726.57,34341.53,Q,17170.76,,,No,2,615646.0,No,9534172180,Urban,943084.28,2024-04-02,2024-04-01,IND,POL-40251,UIN-213,Plan A,PERSONAL_ACCIDENT
POL-35670,POL-31174,N,Y,IF,S,I,,2024-07-19,2024-07-21,2025-07-20,,AG1190,SM1027,MEMBER-014089,MEMBER-003704,MEMBER-010645,MEMBER-005131,,495784.54,14249.54,Y,14249.54,2024-07-21,,No,4,263199.32,No,9805599468,Urban,428014.89,,2024-07-20,SPP,POL-31174,UIN-577,Plan A,IND_HEALTH
POL-31394,POL-12526,Y,N,IF,U,I,,2024-06-14,2024-06-19,2025-06-18,,AG1046,SM1037,MEMBER-004788,MEMBER-006322,MEMBER-012471,MEMBER-013194,MEMBER-010987,904646.63,16113.45,H,16113.45,,,No,5,653325.18,No,9504233295,Urban,841155.83,2024-06-19,2024-06-18,ORG,POL-12526,UIN-807,Plan B,IND_HEALTH
POL-24466,POL-22639,Y,N,IF,S,I,,2023-08-27,2023-08-28,2024-08-26,,AG1014,SM1001,MEMBER-012383,MEMBER-006786,,,,1690873.39,86784.72,M,50624.42,,,No,2,964138.26,No,9906464880,Urban,1282234.66,2023-08-28,2023-08-27,IND,POL-22639,UIN-837,Plan A,GROUP_HEALTH
POL-31574,,N,N,IF,S,I,,2024-04-21,2024-04-22,2025-04-21,,AG1146,SM1021,MEMBER-001468,MEMBER-013961,MEMBER-007011,MEMBER-001589,,1925288.06,170087.24,Y,170087.24,,2025-03-17,Yes,4,1285574.92,No,9578120252,Urban,,,,IND,POL-31574,UIN-124,Plan C,TERM_LIFE
POL-26690,POL-42456,Y,N,TM,S,I,,2023-01-01,2023-01-01,2023-12-31,2023-09-23,AG1125,SM1019,MEMBER-001245,,,,,1923640.22,103169.35,M,77377.01,,,No,1,1189215.88,No,9942561405,Urban,2082413.06,2023-01-01,2022-12-31,ORG,POL-42456,UIN-599,Plan B,FAMILY_HEALTH_OPTIMA
POL-36331,,N,N,IF,S,I,,2023-09-01,2023-09-05,2024-09-03,,AG1024,SM1033,MEMBER-002436,MEMBER-005123,,,,1414134.15,131883.86,H,131883.86,,,No,2,950995.95,No,9006731244,Rural,,,,IND,POL-36331,UIN-930,Plan C,CRITICAL_ILLNESS
POL-47769,,N,N,IF,S,I,,2023-12-30,2023-12-30,2024-12-28,,AG1014,SM1006,MEMBER-004113,MEMBER-013420,MEMBER-002728,,,1592934.32,147715.96,M,147715.96,,,No,3,837362.88,No,9123302011,Urban,,,,IND,POL-47769,UIN-743,Plan C,CRITICAL_ILLNESS
POL-38269,,N,N,IF,U,I,,2024-03-22,2024-03-26,2025-03-25,,AG1022,SM1016,MEMBER-014477,MEMBER-013291,,,,997291.38,51493.41,M,4291.12,,,No,2,547445.07,No,9388953844,Urban,,,,DIR,POL-38269,UIN-292,Plan C,CRITICAL_ILLNESS
POL-16569,,N,N,IF,S,I,,2024-04-29,2024-04-30,2025-04-29,,AG1196,SM1008,MEMBER-001673,MEMBER-011639,MEMBER-011171,MEMBER-007645,,1011108.46,97200.51,Q,97200.51,,2025-02-23,Yes,4,738653.2,No,9998266340,Urban,,,,ORG,POL-16569,UIN-416,Plan A,GROUP_HEALTH
POL-23345,,N,N,IF,S,I,,2023-04-13,2023-04-14,2024-04-12,,AG1049,SM1021,MEMBER-010650,MEMBER-012031,MEMBER-000733,MEMBER-002845,,226882.85,12792.85,Q,3198.21,,,No,4,162545.24,No,9723050299,Urban,,,,IND,POL-23345,UIN-521,Plan C,IND_HEALTH
POL-47409,,N,N,XP,U,I,,2023-10-07,2023-10-12,2024-10-10,,AG1086,SM1003,MEMBER-013937,MEMBER-002422,MEMBER-000903,MEMBER-014892,,1754718.36,113552.81,Y,113552.81,,,No,4,895506.34,No,9800682676,Urban,,,,IND,POL-47409,UIN-820,Plan B,PERSONAL_ACCIDENT
POL-45759,,N,N,IF,S,I,,2024-03-21,2024-03-25,2025-03-24,,AG1074,SM1021,MEMBER-013015,MEMBER-004368,MEMBER-009431,,,433985.97,24004.19,Q,12002.09,,,No,3,345887.4,No,9177723191,Urban,,,,IND,POL-45759,UIN-524,Plan A,IND_HEALTH
POL-43196,POL-43423,Y,N,CP,U,G,N,2024-03-01,2024-03-01,2025-02-28,2024-10-27,AG1096,SM1015,MEMBER-004765,MEMBER-011574,,,,8711152.04,268253.11,M,67063.28,,,No,2,6069310.91,No,9626795920,Rural,9931733.98,2024-03-01,2024-02-29,IOC,POL-43423,UIN-181,Plan C,GROUP_HEALTH
POL-47298,,N,N,IF,S,I,,2023-08-04,2023-08-05,2024-08-03,,AG1179,SM1016,MEMBER-007146,MEMBER-002705,,,,650901.54,30747.11,H,15373.56,,,No,2,463961.83,No,9854292371,Rural,,,,IND,POL-47298,UIN-361,Plan B,FAMILY_HEALTH_OPTIMA
POL-21854,,N,N,IF,S,I,,2024-08-01,2024-08-01,2025-07-31,,AG1164,SM1007,MEMBER-000049,MEMBER-002107,MEMBER-012794,MEMBER-012340,MEMBER-006896,991786.36,41684.96,Y,41684.96,,2025-03-13,Yes,5,624772.74,No,9502520920,Rural,,,,IND,POL-21854,UIN-141,Plan A,PERSONAL_ACCIDENT
POL-31216,,N,N,IF,S,I,,2023-04-04,2023-04-06,2024-04-04,,AG1113,SM1046,MEMBER-001657,MEMBER-011948,MEMBER-012263,MEMBER-011591,,1412920.67,59496.7,H,59496.7,,,No,4,890808.85,No,9934782561,Urban,,,,SPP,POL-31216,UIN-277,Plan C,GROUP_HEALTH
POL-36995,,N,N,IF,S,I,,2023-05-09,2023-05-12,2024-05-10,,AG1155,SM1007,MEMBER-000476,MEMBER-003329,,,,323133.69,12484.67,H,6242.34,,,No,2,214151.42,No,9870295810,Rural,,,,IND,POL-36995,UIN-153,Plan B,PERSONAL_ACCIDENT
POL-42320,POL-36689,N,Y,XP,S,I,,2024-03-03,2024-03-04,2025-03-03,,AG1134,SM1025,MEMBER-006185,,,,,750286.54,22165.37,Y,22165.37,2024-03-04,,No,1,447150.51,No,9366531110,Rural,797989.88,,2024-03-03,IOC,POL-36689,UIN-511,Plan C,CRITICAL_ILLNESS
POL-49963,,N,N,IF,U,I,,2023-04-25,2023-04-27,2024-04-25,,AG1173,SM1019,MEMBER-012114,MEMBER-011996,MEMBER-004195,,,905901.02,26020.34,H,13010.17,,,No,3,513560.48,No,9689106583,Rural,,,,IND,POL-49963,UIN-495,Plan C,PERSONAL_ACCIDENT
POL-14434,,N,N,IF,U,I,,2024-07-11,2024-07-13,2025-07-12,,AG1131,SM1030,MEMBER-004807,MEMBER-002191,,,,800068.98,28623.44,H,28623.44,,,No,2,493690.62,No,9901064217,Urban,,,,SPP,POL-14434,UIN-788,Plan A,GROUP_HEALTH
POL-34203,POL-40545,Y,N,XP,S,I,,2024-02-02,2024-02-04,2025-02-02,,AG1177,SM1009,MEMBER-001764,MEMBER-007640,MEMBER-003270,MEMBER-010109,,1976336.04,96678.32,Y,96678.32,,,No,4,1330187.8,No,9367294965,Rural,1423300.85,2024-02-04,2024-02-03,DIR,POL-40545,UIN-468,Plan A,TERM_LIFE
POL-25325,POL-41167,N,Y,IF,S,I,,2024-05-15,2024-05-19,2025-05-18,,AG1045,SM1029,MEMBER-013191,MEMBER-006707,MEMBER-001363,,,1433569.45,101425.81,Y,101425.81,2024-05-19,,No,3,772113.72,No,9938541136,Rural,1227894.1,,2024-05-18,IOC,POL-41167,UIN-254,Plan A,PERSONAL_ACCIDENT
POL-15761,,N,N,IF,S,I,,2023-08-09,2023-08-10,2024-08-08,,AG1023,SM1035,MEMBER-009663,,,,,1284506.36,80184.27,H,80184.27,,,No,1,872298.3,No,9136475306,Urban,,,,IOC,POL-15761,UIN-966,Plan B,FAMILY_HEALTH_OPTIMA
POL-38635,POL-36755,Y,N,IF,S,I,,2023-03-10,2023-03-10,2024-03-08,,AG1021,SM1022,MEMBER-003974,,,,,2269016.49,179658.8,Q,134744.1,,,No,1,1491485.42,No,9394052381,Urban,2132304.44,2023-03-10,2023-03-09,ORG,POL-36755,UIN-692,Plan B,GROUP_HEALTH
POL-10869,POL-24060,N,Y,IF,U,I,,2023-10-01,2023-10-04,2024-10-02,,AG1031,SM1038,MEMBER-006503,MEMBER-003088,MEMBER-004762,MEMBER-009163,,1114373.86,67279.29,H,33639.64,2023-10-04,,No,4,822304.35,No,9627552751,Rural,1219700.87,,2023-10-03,IND,POL-24060,UIN-732,Plan A,PERSONAL_ACCIDENT
POL-25761,,N,N,CP,S,I,,2024-06-03,2024-06-08,2025-06-07,2025-04-04,AG1179,SM1018,MEMBER-000231,MEMBER-011332,MEMBER-001593,MEMBER-010040,MEMBER-008975,1564467.32,91590.22,Y,91590.22,,,No,5,1129824.55,No,9019873116,Urban,,,,ORG,POL-25761,UIN-201,Plan B,GROUP_HEALTH
POL-32227,,N,N,IF,S,G,E,2024-07-31,2024-08-01,2025-07-31,,AG1007,SM1046,MEMBER-008774,MEMBER-014194,,,,3642613.4,201119.52,Y,201119.52,,,No,2,1853684.8,No,9831444662,Rural,,,,IOC,POL-32227,UIN-958,Plan A,PERSONAL_ACCIDENT
POL-25201,,N,N,IF,S,I,,2023-02-24,2023-02-28,2024-02-27,,AG1127,SM1020,MEMBER-009786,MEMBER-013466,MEMBER-009417,MEMBER-001596,,734356.53,26302.44,Q,6575.61,,,No,4,573793.19,No,9307202045,Urban,,,,ORG,POL-25201,UIN-930,Plan B,GROUP_HEALTH
POL-21911,,N,N,IF,U,I,,2023-05-27,2023-06-01,2024-05-30,,AG1043,SM1013,MEMBER-014709,MEMBER-007151,MEMBER-006870,,,2185730.87,122388.36,H,61194.18,,,No,3,1635499.01,No,9222372602,Rural,,,,IND,POL-21911,UIN-762,Plan A,IND_HEALTH
POL-26423,,N,N,IF,S,I,,2023-06-11,2023-06-11,2024-06-09,,AG1182,SM1010,MEMBER-012493,MEMBER-007610,MEMBER-013852,MEMBER-014570,,1844765.7,95711.94,H,95711.94,,,No,4,978483.58,No,9319179287,Rural,,,,IND,POL-26423,UIN-335,Plan A,TERM_LIFE
POL-44654,,N,N,IF,S,I,,2023-07-22,2023-07-26,2024-07-24,,AG1028,SM1043,MEMBER-008577,MEMBER-008034,MEMBER-000622,,,1306426.39,68774.29,Y,68774.29,,,No,3,1017192.14,No,9801234129,Rural,,,,IND,POL-44654,UIN-593,Plan C,PERSONAL_ACCIDENT
POL-44639,,N,N,IF,S,I,,2023-08-23,2023-08-28,2024-08-26,,AG1193,SM1041,MEMBER-003319,MEMBER-013328,MEMBER-004670,MEMBER-011568,MEMBER-002399,2244398.39,93211.89,Y,93211.89,,,No,5,1600516.35,No,9619453995,Urban,,,,IND,POL-44639,UIN-163,Plan B,FAMILY_HEALTH_OPTIMA
POL-42472,,N,N,IF,S,G,E,2024-05-19,2024-05-24,2025-05-23,,AG1019,SM1034,MEMBER-014011,,,,,6955079.55,442331.41,Y,442331.41,,,No,1,5433068.07,No,9793765685,Urban,,,,DIR,POL-42472,UIN-752,Plan A,TERM_LIFE
POL-17736,,N,N,CP,U,I,,2023-05-28,2023-06-02,2024-05-31,2024-01-25,AG1127,SM1029,MEMBER-009440,MEMBER-007924,MEMBER-001110,MEMBER-003853,,241585.53,9003.03,Y,9003.03,,,No,4,156192.46,No,9134371250,Urban,,,,DIR,POL-17736,UIN-115,Plan B,FAMILY_HEALTH_OPTIMA
POL-23543,,N,N,IF,S,I,,2023-03-26,2023-03-29,2024-03-27,,AG1079,SM1046,MEMBER-006053,MEMBER-001907,MEMBER-006184,,,2165624.59,78268.06,Q,58701.04,,,No,3,1128394.31,No,9222448959,Rural,,,,ORG,POL-23543,UIN-897,Plan B,PERSONAL_ACCIDENT
POL-36146,POL-14597,Y,N,XP,S,G,E,2024-01-18,2024-01-19,2025-01-17,,AG1147,SM1006,MEMBER-012842,,,,,1022068.5,87793.67,Y,87793.67,,,No,1,769208.19,No,9483419935,Urban,1070415.74,2024-01-19,2024-01-18,IND,POL-14597,UIN-837,Plan B,CRITICAL_ILLNESS
POL-24284,POL-42457,Y,N,IF,S,I,,2023-04-01,2023-04-02,2024-03-31,,AG1145,SM1000,MEMBER-012229,MEMBER-007006,MEMBER-011478,,,742941.12,34588.43,H,34588.43,,,No,3,568218.84,No,9229048157,Urban,807807.12,2023-04-02,2023-04-01,IND,POL-42457,UIN-291,Plan B,GROUP_HEALTH
POL-38848,,N,N,IF,S,G,E,2023-11-30,2023-12-04,2024-12-02,,AG1050,SM1002,MEMBER-007532,MEMBER-012214,MEMBER-004588,,,1387061.54,138343.86,H,138343.86,,2023-12-06,Yes,3,986612.34,No,9879081865,Rural,,,,IND,POL-38848,UIN-306,Plan A,CRITICAL_ILLNESS
POL-33219,POL-47669,Y,N,IF,S,I,,2024-07-10,2024-07-11,2025-07-10,,AG1004,SM1037,MEMBER-003394,MEMBER-013680,MEMBER-002558,MEMBER-013841,MEMBER-013436,298292.95,11801.87,H,11801.87,,,No,5,237714.51,No,9718685756,Rural,214278.95,2024-07-11,2024-07-10,IOC,POL-47669,UIN-519,Plan B,IND_HEALTH
POL-36908,,N,N,IF,S,I,,2023-04-13,2023-04-16,2024-04-14,,AG1095,SM1016,MEMBER-004530,MEMBER-013780,MEMBER-011665,MEMBER-013564,MEMBER-005788,844625.91,42014.02,Y,42014.02,,,No,5,491068.02,No,9867153793,Rural,,,,IND,POL-36908,UIN-791,Plan B,FAMILY_HEALTH_OPTIMA
POL-49194,,N,N,IF,S,I,,2023-02-26,2023-02-26,2024-02-25,,AG1195,SM1001,MEMBER-001962,MEMBER-007295,,,,2274791.12,126075.4,Y,126075.4,,,No,2,1162390.45,No,9610300468,Urban,,,,IND,POL-49194,UIN-810,Plan A,CRITICAL_ILLNESS
POL-30702,,N,N,IF,U,I,,2023-12-18,2023-12-23,2024-12-21,,AG1099,SM1025,MEMBER-001898,MEMBER-007119,MEMBER-012868,,,1394884.61,102622.8,H,51311.4,,,No,3,1090039.74,No,9423902859,Urban,,,,IND,POL-30702,UIN-383,Plan B,CRITICAL_ILLNESS
POL-46531,POL-36511,N,Y,IF,U,I,,2024-05-09,2024-05-11,2025-05-10,,AG1082,SM1020,MEMBER-012689,MEMBER-002722,,,,1350316.15,74570.03,M,18642.51,2024-05-11,,No,2,898707.97,No,9812513043,Urban,1041758.32,,2024-05-10,IOC,POL-36511,UIN-566,Plan A,PERSONAL_ACCIDENT
POL-49816,POL-49534,Y,N,IF,S,I,,2023-01-13,2023-01-16,2024-01-15,,AG1187,SM1037,MEMBER-011179,MEMBER-005905,,,,134174.58,9377.73,Y,9377.73,,,No,2,99799.16,No,9504878026,Urban,140058.55,2023-01-16,2023-01-15,ORG,POL-49534,UIN-219,Plan B,IND_HEALTH
POL-13098,POL-44691,Y,N,IF,U,I,,2023-05-07,2023-05-12,2024-05-10,,AG1018,SM1015,MEMBER-012252,MEMBER-004560,,,,536858.5,30009.57,M,30009.57,,,No,2,328593.96,No,9160419684,Urban,375853.12,2023-05-12,2023-05-11,IND,POL-44691,UIN-819,Plan B,IND_HEALTH
POL-41908,POL-42551,Y,N,IF,U,I,,2023-07-20,2023-07-23,2024-07-21,,AG1193,SM1014,MEMBER-003689,,,,,2049435.4,86084.31,Y,86084.31,,,No,1,1424985.27,No,9807540332,Urban,2235893.91,2023-07-23,2023-07-22,IND,POL-42551,UIN-934,Plan A,PERSONAL_ACCIDENT
POL-20307,,N,N,IF,U,I,,2023-10-17,2023-10-22,2024-10-20,,AG1050,SM1030,MEMBER-012826,,,,,1887101.22,143691.89,H,71845.95,,,No,1,1210555.71,No,9884195575,Rural,,,,IOC,POL-20307,UIN-217,Plan A,IND_HEALTH
POL-25203,POL-45075,Y,N,IF,S,I,,2023-04-25,2023-04-28,2024-04-26,,AG1092,SM1031,MEMBER-007038,MEMBER-006232,MEMBER-001337,MEMBER-005814,,718691.0,54600.88,Y,54600.88,,,No,4,442035.6,No,9105791681,Rural,775995.02,2023-04-28,2023-04-27,DIR,POL-45075,UIN-354,Plan A,IND_HEALTH
POL-27557,,N,N,XP,U,I,,2023-12-29,2023-12-30,2024-12-28,,AG1122,SM1006,MEMBER-007278,MEMBER-010533,,,,855177.72,19950.49,Y,19950.49,,,No,2,550500.93,No,9113260745,Urban,,,,DIR,POL-27557,UIN-646,Plan A,GROUP_HEALTH
POL-34684,,N,N,IF,S,I,,2023-07-23,2023-07-28,2024-07-26,,AG1197,SM1020,MEMBER-013808,,,,,907291.8,69854.89,H,34927.44,,,No,1,702018.46,No,9160950135,Urban,,,,IND,POL-34684,UIN-183,Plan A,TERM_LIFE
POL-31669,POL-27140,Y,N,IF,S,I,,2023-08-12,2023-08-13,2024-08-11,,AG1149,SM1019,MEMBER-011935,MEMBER-003373,MEMBER-007346,MEMBER-010446,MEMBER-004861,147001.05,4188.08,Q,2094.04,,,No,5,105844.57,No,9489885083,Urban,141938.14,2023-08-13,2023-08-12,IND,POL-27140,UIN-540,Plan A,CRITICAL_ILLNESS
POL-29806,,N,N,IF,S,I,,2023-12-21,2023-12-22,2024-12-20,,AG1010,SM1003,MEMBER-005088,MEMBER-013690,,,,2313669.77,173930.47,H,173930.47,,,No,2,1159297.06,No,9502810843,Urban,,,,IND,POL-29806,UIN-147,Plan A,FAMILY_HEALTH_OPTIMA
